                       [Misao: Definitive Edition] 2017 | 50k | 1348 (97%) | 3.0h
                     [Super Fancy Pants Adventure] 2017 | 50k | 1186 (91%) | 2.0h
                                     [Dino Run DX] 2015 | 50k | 1071 (93%) | 1.5h
                                      [IS Defense] 2016 | 50k | 1305 (93%) | 3.0h
                                    [Momodora III] 2014 | 50k | 1045 (94%) | 1.5h
                               [My Brother Rabbit] 2018 | 50k | 1282 (97%) | 3.5h
                                        [Bot Vice] 2016 | 50k | 1107 (94%) | 2.5h
                            [Super Trench Attack!] 2014 | 50k | 1139 (91%) | 2.5h
                                      [Hustle Cat] 2016 | 50k | 1072 (93%) | 3.0h
                             [The Gardens Between] 2018 | 20k | 1927 (94%) | 2.5h
                                       [Swarmlake] 2018 | 20k | 1462 (96%) | 1.0h
                               [Coming Out on Top] 2017 | 20k | 1116 (96%) | 1.0h
             [Panzermadels: Tank Dating Simulator] 2016 | 20k | 1356 (92%) | 2.5h
                             [Love at First Sight] 2015 | 20k | 1149 (96%) | 1.5h
                                              [Ib] 2022 | 20k | 1166 (99%) | 2.5h
                                         [Climbey] 2022 | 20k | 1008 (91%) | 1.0h

                         Found 198 matching games.
